"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/12/05","16:30","0.182","-","0.309"
"2023/12/05","16:36","0.182","-","0.346"
"2023/12/05","16:42","0.182","-","0.325"
"2023/12/05","16:48","0.182","-","0.291"
"2023/12/05","16:54","0.183","-","0.299"
"2023/12/05","17:00","0.185","-","0.322"
"2023/12/05","17:06","0.187","-","0.303"
"2023/12/05","17:12","0.189","-","0.319"
"2023/12/05","17:18","0.192","-","0.313"
"2023/12/05","17:24","0.195","-","0.327"
"2023/12/05","17:30","0.198","-","0.337"
"2023/12/05","17:36","0.202","-","0.361"
"2023/12/05","17:42","0.207","-","0.366"
"2023/12/05","17:48","0.211","-","0.344"
"2023/12/05","17:54","0.216","-","0.371"
"2023/12/05","18:00","0.222","-","0.36"
"2023/12/05","18:06","0.228","-","0.38"
"2023/12/05","18:12","0.234","-","0.409"
"2023/12/05","18:18","0.24","-","0.384"
"2023/12/05","18:24","0.247","-","0.37"
"2023/12/05","18:30","0.255","-","0.39"
"2023/12/05","18:36","0.262","-","0.421"
"2023/12/05","18:42","0.27","-","0.445"
"2023/12/05","18:48","0.278","-","0.442"
"2023/12/05","18:54","0.286","-","0.44"
"2023/12/05","19:00","0.295","-","0.446"
"2023/12/05","19:06","0.303","-","0.412"
"2023/12/05","19:12","0.312","-","0.466"
"2023/12/05","19:18","0.321","-","0.453"
"2023/12/05","19:24","0.331","-","0.465"
"2023/12/05","19:30","0.34","-","0.495"
"2023/12/05","19:36","0.349","-","0.506"
"2023/12/05","19:42","0.359","-","0.526"
"2023/12/05","19:48","0.369","-","0.511"
"2023/12/05","19:54","0.378","-","0.507"
"2023/12/05","20:00","0.388","-","0.51"
"2023/12/05","20:06","0.398","-","0.545"
"2023/12/05","20:12","0.407","-","0.551"
"2023/12/05","20:18","0.417","-","0.554"
"2023/12/05","20:24","0.426","-","0.559"
"2023/12/05","20:30","0.436","-","0.566"
"2023/12/05","20:36","0.445","-","0.585"
"2023/12/05","20:42","0.454","-","0.589"
"2023/12/05","20:48","0.463","-","0.592"
"2023/12/05","20:54","0.472","-","0.612"
"2023/12/05","21:00","0.481","-","0.615"
"2023/12/05","21:06","0.489","-","0.636"
"2023/12/05","21:12","0.497","-","0.623"
"2023/12/05","21:18","0.505","-","0.632"
"2023/12/05","21:24","0.513","-","0.651"
"2023/12/05","21:30","0.52","-","0.647"
"2023/12/05","21:36","0.527","-","0.661"
"2023/12/05","21:42","0.534","-","0.675"
"2023/12/05","21:48","0.54","-","0.684"
"2023/12/05","21:54","0.546","-","0.682"
"2023/12/05","22:00","0.552","-","0.675"
"2023/12/05","22:06","0.557","-","0.693"
"2023/12/05","22:12","0.562","-","0.697"
"2023/12/05","22:18","0.566","-","0.67"
"2023/12/05","22:24","0.57","-","0.706"
"2023/12/05","22:30","0.574","-","0.696"
"2023/12/05","22:36","0.577","-","0.7"
"2023/12/05","22:42","0.58","-","0.709"
"2023/12/05","22:48","0.582","-","0.697"
"2023/12/05","22:54","0.584","-","0.711"
"2023/12/05","23:00","0.586","-","0.707"
"2023/12/05","23:06","0.587","-","0.719"
"2023/12/05","23:12","0.588","-","0.73"
"2023/12/05","23:18","0.588","-","0.733"
"2023/12/05","23:24","0.588","-","0.752"
"2023/12/05","23:30","0.587","-","0.731"
"2023/12/05","23:36","0.586","-","0.704"
"2023/12/05","23:42","0.585","-","0.744"
"2023/12/05","23:48","0.583","-","0.721"
"2023/12/05","23:54","0.581","-","0.722"
